CRN,RES_TM_min
2010011629,0.0
2010011630,10.0
2010011631,8.0
2010011632,1.0
2010011634,5.0
2010011635,15.0
2010011639,8.0
2010011640,0.0
2010011641,5.0
2010011642,8.0
2010011643,7.0
2010011644,5.0
2010011798,1.0
2010011800,6.0
2010011803,2.0
2010011804,9.0
2010011805,14.0
2010011806,2.0
2010011807,5.0
2010012020,5.0
2010012021,10.0
2010012022,2.0
2010012024,5.0
2010012252,15.0
2010012268,3.0
2010012361,2.0
2010012366,0.0
2010012380,0.0
2010012381,22.0
2010012384,3.0
2010012385,2.0
2010012387,0.0
2010012390,0.0
2010012391,4.0
2010012394,5.0
2010012396,8.0
2010012397,7.0
2010012398,7.0
2010012400,3.0
2010012401,2.0
2010012402,4.0
2010012403,9.0
2010012404,0.0
2010012406,4.0
2010012663,6.0
2010012847,2.0
2010012848,8.0
2010012850,1.0
2010012862,5.0
2010013031,3.0
2010013032,3.0
2010013433,0.0
2010013435,15.0
2010013436,9.0
2010013696,2.0
2010014137,4.0
2010014138,6.0
2010014140,1.0
2010014142,2.0
2010014313,5.0
2010014314,11.0
2010014319,27.0
2010014320,14.0
2010014321,14.0
2010014322,6.0
2010014323,20.0
2010014324,5.0
2010014325,5.0
2010014326,0.0
2010014990,2.0
2010015112,10.0
2010015317,0.0
2010015323,1.0
2010015555,0.0
2010015556,0.0
2010015557,0.0
2010015560,1.0
2010015561,2.0
2010015562,2.0
2010015563,2.0
2010015565,36.0
2010015566,36.0
2010015568,20.0
2010015569,0.0
2010015571,4.0
2010015572,2.0
2010015649,3.0
2010015755,0.0
2010015770,0.0
2010015859,9.0
2010015860,7.0
2010015861,0.0
2010015916,0.0
2010015924,0.0
2010016172,9.0
2010016175,4.0
2010016179,16.0
2010016469,0.0
2010016782,1.0
2010016783,5.0
2010016784,18.0
2010016785,9.0
2010016787,7.0
2010016788,8.0
2010016790,7.0
2010016792,8.0
2010016794,16.0
2010016795,9.0
2010016797,8.0
2010016798,7.0
2010016801,10.0
2010016802,6.0
2010016804,23.0
2010016805,10.0
2010016904,0.0
2010016905,24.0
2010016906,2.0
2010016907,2.0
2010016909,0.0
2010016911,1.0
2010016924,7.0
2010016926,4.0
2010016927,0.0
2010016929,4.0
2010016930,17.0
2010016931,0.0
2010016932,17.0
2010016933,8.0
2010016934,1.0
2010016935,4.0
2010016936,4.0
2010016938,5.0
2010016940,8.0
2010016941,3.0
2010016942,11.0
2010016944,5.0
2010016945,30.0
2010016948,6.0
2010016949,15.0
2010017003,1.0
2010017017,11.0
2010017018,3.0
2010017019,4.0
2010017038,1.0
2010017040,0.0
2010017041,0.0
2010017042,2.0
2010017043,13.0
2010017044,6.0
2010017045,14.0
2010017046,7.0
2010017047,2.0
2010017048,1.0
2010017050,0.0
2010017051,0.0
2010017052,4.0
2010017070,0.0
2010017073,1.0
2010017076,3.0
2010017077,13.0
2010017078,5.0
2010017079,3.0
2010017080,0.0
2010017082,1.0
2010017084,3.0
2010017086,4.0
2010017087,5.0
2010017088,4.0
2010017108,16.0
2010017109,1.0
2010017110,2.0
2010017111,8.0
2010017113,0.0
2010017114,1.0
2010017115,5.0
2010017117,5.0
2010017118,3.0
2010017119,8.0
2010017120,5.0
2010017121,6.0
2010017122,9.0
2010017123,0.0
2010017124,2.0
2010017127,4.0
2010017128,2.0
2010017129,0.0
2010017130,1.0
2010017133,5.0
2010017135,2.0
2010017136,3.0
2010017137,1.0
2010017138,7.0
2010017139,8.0
2010017140,5.0
2010017141,3.0
2010017142,5.0
2010017147,2.0
2010017153,17.0
2010017154,8.0
2010017155,4.0
2010017156,4.0
2010017157,1.0
2010017158,1.0
2010017159,1.0
2010017160,10.0
2010017161,2.0
2010017163,6.0
2010017164,4.0
2010017165,6.0
2010017171,2.0
2010017172,13.0
2010017173,2.0
2010017175,6.0
2010017177,4.0
2010017179,7.0
2010017180,0.0
2010017182,4.0
2010017183,4.0
2010017185,0.0
2010017186,3.0
2010017189,1.0
2010017190,5.0
2010017191,2.0
2010017192,5.0
2010017193,2.0
2010017196,6.0
2010017197,0.0
2010017198,2.0
2010017199,5.0
2010017200,6.0
2010017201,17.0
2010017202,10.0
2010017203,7.0
2010017204,5.0
2010017205,0.0
2010017207,3.0
2010017208,2.0
2010017211,10.0
2010017212,3.0
2010017213,1.0
2010017214,0.0
2010017217,20.0
2010017218,5.0
2010017219,0.0
2010017220,0.0
2010017221,1.0
2010017222,4.0
2010017223,2.0
2010017224,3.0
2010017225,7.0
2010017227,5.0
2010017229,2.0
2010017230,2.0
2010017231,0.0
2010017232,4.0
2010017233,2.0
2010017234,5.0
2010017235,10.0
2010017236,2.0
2010017237,5.0
2010017239,7.0
2010017240,1.0
2010017243,5.0
2010017244,3.0
2010017245,5.0
2010017246,4.0
2010017247,0.0
2010017248,5.0
2010017249,5.0
2010017250,5.0
2010017251,7.0
2010017252,5.0
2010017253,0.0
2010017254,5.0
2010017255,0.0
2010017256,2.0
2010017258,10.0
2010017259,2.0
2010017260,2.0
2010017261,5.0
2010017262,2.0
2010017264,8.0
2010017345,0.0
2010017523,0.0
2010017658,0.0
2010018004,5.0
2010018005,3.0
2010018006,5.0
2010018007,1.0
2010018009,6.0
2010018020,14.0
2010018029,10.0
2010018035,13.0
2010018036,9.0
2010018038,10.0
2010018039,4.0
2010018040,5.0
2010018041,5.0
2010018043,5.0
2010018044,2.0
2010018045,1.0
2010018046,2.0
2010018047,2.0
2010018048,10.0
2010018049,5.0
2010018050,4.0
2010018051,3.0
2010018052,4.0
2010018053,7.0
2010018054,3.0
2010018055,16.0
2010018056,4.0
2010018057,4.0
2010018058,6.0
2010018059,7.0
2010018060,10.0
2010018061,9.0
2010018062,5.0
2010018063,4.0
2010018064,5.0
2010018065,0.0
2010018066,3.0
2010018067,5.0
2010018100,3.0
2010018305,2.0
2010018606,0.0
2010018607,1.0
2010018608,13.0
2010018609,13.0
2010018610,12.0
2010018611,8.0
2010018613,2.0
2010018616,16.0
2010018982,2.0
2010019054,3.0
2010019189,5.0
2010019190,5.0
2010019191,26.0
2010019192,0.0
2010019193,3.0
2010019196,1.0
2010019198,3.0
2010019302,0.0
2010019340,4.0
2010019341,24.0
2010019342,10.0
2010019343,7.0
2010019345,18.0
2010019404,5.0
2010019407,13.0
2010019413,4.0
2010019417,5.0
2010019424,10.0
2010019427,10.0
2010019430,4.0
2010019431,2.0
2010019432,5.0
2010019433,2.0
2010019602,0.0
2010019970,3.0
2010019976,3.0
2010020077,5.0
2010020100,5.0
2010020206,5.0
2010020464,0.0
2010020465,2.0
2010020466,6.0
2010020468,7.0
2010020471,0.0
2010020472,1.0
2010020474,14.0
2010020475,10.0
2010020476,2.0
2010020477,2.0
2010020478,0.0
2010020480,3.0
2010020831,6.0
2010020833,2.0
2010020834,3.0
2010020835,3.0
2010020838,1.0
2010020839,1.0
2010020841,6.0
2010020842,5.0
2010020846,0.0
2010020847,0.0
2010021211,0.0
2010021212,7.0
2010021214,10.0
2010021216,3.0
2010021217,30.0
2010021218,4.0
2010021405,2.0
2010021425,5.0
2010021426,0.0
2010021432,3.0
2010021433,10.0
2010021434,3.0
2010021435,8.0
2010021436,7.0
2010021437,5.0
2010021438,2.0
2010021443,8.0
2010021444,10.0
2010021445,2.0
2010021446,4.0
2010021450,5.0
2010021451,5.0
2010021453,17.0
2010021454,5.0
2010021455,3.0
2010021456,5.0
2010021457,8.0
2010021459,0.0
2010021476,8.0
2010021477,4.0
2010021484,3.0
2010021485,2.0
2010021486,1.0
2010021487,0.0
2010021517,0.0
2010021519,6.0
2010021520,4.0
2010021521,3.0
2010021524,1.0
2010021525,3.0
2010021527,2.0
2010021528,0.0
2010021529,4.0
2010021550,3.0
2010021551,5.0
2010021552,3.0
2010021553,3.0
2010021554,1.0
2010021555,12.0
2010021556,14.0
2010021558,1.0
2010021560,3.0
2010021562,2.0
2010021563,0.0
2010021564,10.0
2010021565,5.0
2010021566,3.0
2010021567,11.0
2010021568,12.0
2010021623,4.0
2010021624,3.0
2010021625,3.0
2010021626,8.0
2010021627,5.0
2010021628,2.0
2010021629,7.0
2010021630,2.0
2010021631,3.0
2010021632,7.0
2010021633,4.0
2010021634,9.0
2010021635,1.0
2010021636,5.0
2010021638,3.0
2010021639,0.0
2010021640,1.0
2010021641,5.0
2010021643,15.0
2010021644,1.0
2010021645,4.0
2010021646,2.0
2010021648,3.0
2010021671,0.0
2010021672,3.0
2010021673,7.0
2010021675,7.0
2010021677,6.0
2010021683,3.0
2010021684,2.0
2010021685,7.0
2010021686,10.0
2010021687,10.0
2010021688,4.0
2010021690,3.0
2010021691,4.0
2010021693,11.0
2010021694,2.0
2010021695,0.0
2010021696,9.0
2010021698,4.0
2010021699,7.0
2010021700,11.0
2010021701,5.0
2010021702,8.0
2010021703,5.0
2010021704,2.0
2010021705,3.0
2010021706,3.0
2010021707,3.0
2010021708,4.0
2010021709,7.0
2010021710,10.0
2010021711,6.0
2010021712,6.0
2010021713,0.0
2010021714,5.0
2010021715,0.0
2010021716,2.0
2010021717,4.0
2010021718,5.0
2010021719,4.0
2010021720,4.0
2010021722,2.0
2010021723,12.0
2010021724,0.0
2010021726,5.0
2010021727,5.0
2010021728,4.0
2010021729,3.0
2010021730,30.0
2010021731,7.0
2010021732,9.0
2010021733,10.0
2010021734,2.0
2010021737,2.0
2010021738,3.0
2010021739,9.0
2010021740,0.0
2010021858,1.0
2010021861,5.0
2010021867,5.0
2010021868,3.0
2010021869,1.0
2010021870,9.0
2010021874,1.0
2010021875,4.0
2010021876,3.0
2010021877,5.0
2010021878,15.0
2010021880,2.0
2010021881,5.0
2010021882,3.0
2010021883,0.0
2010021884,3.0
2010021885,5.0
2010021886,12.0
2010021889,3.0
2010021890,1.0
2010021891,3.0
2010021892,1.0
2010022000,2.0
2010022001,37.0
2010022002,45.0
2010022003,8.0
2010022169,3.0
2010022171,13.0
2010022752,6.0
2010023034,12.0
2010023061,10.0
2010023319,5.0
2010023329,0.0
2010023330,0.0
2010023616,8.0
2010023617,8.0
2010023620,5.0
2010023621,3.0
2010023622,6.0
2010023623,12.0
2010023660,7.0
2010023661,0.0
2010023854,4.0
2010023914,39.0
2010023915,11.0
2010023916,2.0
2010024242,24.0
2010024481,0.0
2010024540,1.0
2010024767,3.0
2010024912,5.0
2010025053,9.0
2010025054,6.0
2010025056,5.0
2010025315,2.0
2010025330,5.0
2010025533,24.0
2010025534,23.0
2010025535,9.0
2010025537,5.0
2010025539,11.0
2010025541,11.0
2010025542,3.0
2010025543,10.0
2010025545,4.0
2010025546,12.0
2010025547,4.0
2010025665,3.0
2010025667,9.0
2010026062,9.0
2010026296,5.0
2010026297,3.0
2010026298,6.0
2010026299,3.0
2010026300,2.0
2010026302,6.0
2010026395,11.0
2010026396,10.0
2010026397,0.0
2010026399,8.0
2010026400,3.0
2010026401,0.0
2010026402,1.0
2010026420,0.0
2010026580,5.0
2010026581,12.0
2010026584,8.0
2010026585,8.0
2010026588,4.0
2010026589,15.0
2010026590,4.0
2010026591,14.0
2010026592,5.0
2010026593,13.0
2010026594,13.0
2010026595,7.0
2010026596,1.0
2010026597,12.0
2010026598,4.0
2010027018,0.0
2010027299,21.0
2010027623,2.0
2010027624,2.0
2010027738,8.0
2010027739,9.0
2010027740,2.0
2010027741,0.0
2010027745,0.0
2010027861,15.0
2010027880,4.0
2010027881,3.0
2010027882,4.0
2010027883,4.0
2010027884,5.0
2010027885,5.0
2010027886,0.0
2010027887,6.0
2010027891,8.0
2010027892,0.0
2010027893,19.0
2010027894,10.0
2010027895,5.0
2010027897,8.0
2010027898,10.0
2010027899,4.0
2010027900,7.0
2010027901,14.0
2010027902,5.0
2010027904,1.0
2010027905,0.0
2010027907,5.0
2010027908,20.0
2010027909,6.0
2010027934,5.0
2010027935,10.0
2010027936,4.0
2010027937,3.0
2010027938,9.0
2010027940,2.0
2010027941,15.0
2010027942,5.0
2010027943,7.0
2010027944,2.0
2010027945,5.0
2010027946,34.0
2010027947,2.0
2010027948,2.0
2010027949,6.0
2010027950,5.0
2010027952,0.0
2010027954,2.0
2010027955,6.0
2010027956,1.0
2010027958,3.0
2010027959,7.0
2010027960,5.0
2010027962,4.0
2010027963,10.0
2010027965,3.0
2010027971,1.0
2010027972,14.0
2010027973,3.0
2010027974,6.0
2010027975,25.0
2010027976,0.0
2010027977,0.0
2010028050,3.0
2010028051,4.0
2010028052,0.0
2010028053,0.0
2010028057,4.0
2010028058,2.0
2010028059,3.0
2010028060,10.0
2010028061,2.0
2010028063,12.0
2010028064,2.0
2010028065,4.0
2010028066,4.0
2010028070,5.0
2010028071,0.0
2010028072,5.0
2010028073,2.0
2010028074,3.0
2010028075,5.0
2010028076,1.0
2010028078,0.0
2010028079,0.0
2010028080,10.0
2010028081,20.0
2010028083,0.0
2010028084,3.0
2010028085,8.0
2010028092,4.0
2010028095,23.0
2010028096,4.0
2010028097,6.0
2010028098,3.0
2010028099,12.0
2010028100,7.0
2010028101,0.0
2010028102,5.0
2010028103,8.0
2010028104,5.0
2010028105,10.0
2010028106,2.0
2010028107,7.0
2010028108,2.0
2010028109,2.0
2010028110,15.0
2010028111,17.0
2010028112,13.0
2010028113,2.0
2010028114,3.0
2010028115,6.0
2010028116,3.0
2010028117,21.0
2010028118,0.0
2010028119,2.0
2010028120,7.0
2010028121,11.0
2010028122,14.0
2010028123,4.0
2010028124,1.0
2010028125,0.0
2010028126,18.0
2010028127,5.0
2010028137,1.0
2010028138,14.0
2010028139,3.0
2010028140,3.0
2010028141,4.0
2010028142,0.0
2010028143,0.0
2010028145,5.0
2010028146,25.0
2010028147,0.0
2010028149,4.0
2010028150,5.0
2010028152,10.0
2010028153,4.0
2010028154,0.0
2010028155,2.0
2010028156,0.0
2010028157,12.0
2010028158,8.0
2010028159,10.0
2010028160,10.0
2010028161,8.0
2010028162,2.0
2010028164,1.0
2010028165,0.0
2010028166,0.0
2010028167,23.0
2010028168,23.0
2010028171,10.0
2010028172,1.0
2010028174,5.0
2010028175,5.0
2010028176,1.0
2010028178,3.0
2010028179,14.0
2010028180,4.0
2010028181,19.0
2010028182,9.0
2010028185,5.0
2010028186,10.0
2010028201,2.0
2010028202,5.0
2010028205,11.0
2010028206,2.0
2010028208,7.0
2010028209,8.0
2010028211,3.0
2010028212,3.0
2010028214,3.0
2010028215,1.0
2010028216,3.0
2010028217,1.0
2010028218,7.0
2010028219,0.0
2010028220,5.0
2010028221,9.0
2010028222,5.0
2010028223,5.0
2010028224,31.0
2010028225,18.0
2010028226,25.0
2010028227,14.0
2010028228,5.0
2010028229,6.0
2010028230,2.0
2010028231,0.0
2010028232,5.0
2010028233,4.0
2010028235,5.0
2010028236,0.0
2010028237,6.0
2010028238,2.0
2010028239,3.0
2010028241,3.0
2010028243,0.0
2010028244,6.0
2010028245,0.0
2010028246,0.0
2010028247,6.0
2010028248,0.0
2010028249,45.0
2010028250,3.0
2010028251,3.0
2010028252,5.0
2010028253,5.0
2010028254,2.0
2010028255,1.0
2010028256,13.0
2010028257,15.0
2010028258,1.0
2010028259,5.0
2010028260,2.0
2010028261,15.0
2010028262,0.0
2010028263,0.0
2010028264,7.0
2010028265,1.0
2010028266,10.0
2010028267,29.0
2010028269,5.0
2010028270,2.0
2010028272,0.0
2010028273,9.0
2010028274,1.0
2010028275,0.0
2010028276,0.0
2010028277,5.0
2010028279,10.0
2010028280,6.0
2010028281,1.0
2010028282,8.0
2010028283,9.0
2010028284,2.0
2010028286,4.0
2010028287,11.0
2010028288,11.0
2010028289,0.0
2010028290,5.0
2010028291,9.0
2010028292,6.0
2010028293,0.0
2010028294,4.0
2010028295,1.0
2010028297,7.0
2010028298,0.0
2010028299,8.0
2010028300,4.0
2010028301,14.0
2010028302,8.0
2010028303,1.0
2010028304,4.0
2010028305,5.0
2010028306,5.0
2010028307,5.0
2010028310,9.0
2010028311,2.0
2010028312,5.0
2010028313,3.0
2010028314,2.0
2010028315,4.0
2010028316,3.0
2010028317,2.0
2010028318,0.0
2010028319,0.0
2010028320,9.0
2010028321,1.0
2010028322,0.0
2010028323,16.0
2010028324,0.0
2010028325,6.0
2010028326,0.0
2010028327,6.0
2010028328,12.0
2010028329,0.0
2010028330,8.0
2010028331,5.0
2010028332,5.0
2010028333,17.0
2010028334,20.0
2010028335,3.0
2010028336,10.0
2010028337,1.0
2010028338,33.0
2010028339,3.0
2010028340,1.0
2010028341,4.0
2010028342,7.0
2010028343,0.0
2010028344,2.0
2010028345,2.0
2010028347,0.0
2010028348,15.0
2010028349,15.0
2010028350,6.0
2010028352,9.0
2010028353,6.0
2010028354,0.0
2010028355,0.0
2010028356,3.0
2010028357,8.0
2010028358,0.0
2010028359,6.0
2010028360,4.0
2010028361,2.0
2010028362,2.0
2010028364,4.0
2010028366,0.0
2010028367,2.0
2010028368,4.0
2010028369,1.0
2010028370,6.0
2010028371,10.0
2010028372,4.0
2010028374,9.0
2010028376,10.0
2010028378,5.0
2010028379,5.0
2010028380,0.0
2010028381,3.0
2010028382,2.0
2010028383,2.0
2010028384,2.0
2010028386,16.0
2010028387,0.0
2010028388,10.0
2010028389,5.0
2010028390,0.0
2010028392,0.0
2010028393,10.0
2010028394,5.0
2010028395,0.0
2010028398,3.0
2010028399,5.0
2010028400,20.0
2010028401,10.0
2010028402,5.0
2010028403,11.0
2010028404,5.0
2010028405,16.0
2010028406,2.0
2010028407,0.0
2010028408,6.0
2010028409,8.0
2010028410,0.0
2010028411,15.0
2010028518,3.0
2010028519,10.0
2010028520,4.0
2010028521,3.0
2010028525,7.0
2010028526,9.0
2010028528,5.0
2010028529,12.0
2010028530,3.0
2010028536,5.0
2010028537,8.0
2010028539,1.0
2010028540,2.0
2010028542,6.0
2010028543,15.0
2010028544,1.0
2010028545,5.0
2010028546,2.0
2010028547,3.0
2010028548,10.0
2010028549,0.0
2010028550,0.0
2010028551,3.0
2010028552,8.0
2010028557,4.0
2010028558,2.0
2010028559,0.0
2010028560,13.0
2010028561,0.0
2010028562,4.0
2010028563,0.0
2010028564,4.0
2010028567,2.0
2010028568,2.0
2010028570,0.0
2010028571,3.0
2010028572,6.0
2010028575,12.0
2010028576,0.0
2010028578,3.0
2010028579,9.0
2010028580,5.0
2010028581,2.0
2010028582,0.0
2010028584,2.0
2010028585,5.0
2010028587,5.0
2010028588,3.0
2010028589,2.0
2010028590,9.0
2010028592,4.0
2010028594,5.0
2010028595,5.0
2010028597,1.0
2010028598,0.0
2010028599,5.0
2010028600,7.0
2010028601,0.0
2010028703,3.0
2010028704,5.0
2010028705,11.0
2010028708,18.0
2010029249,9.0
2010029250,0.0
2010029381,2.0
2010029382,13.0
2010029387,2.0
2010029390,8.0
2010029391,5.0
2010029467,6.0
2010029471,6.0
2010029474,5.0
2010029570,2.0
2010029572,0.0
2010029575,0.0
2010029577,15.0
2010029608,1.0
2010029609,0.0
2010029610,0.0
2010029612,3.0
2010029613,7.0
2010029736,5.0
2010029737,5.0
2010029766,27.0
2010029768,8.0
2010029874,2.0
2010030175,3.0
2010030176,9.0
2010030178,12.0
2010030179,7.0
2010030183,5.0
2010030184,4.0
2010030186,4.0
2010030187,4.0
2010030188,0.0
2010030190,7.0
2010030239,2.0
2010030304,0.0
2010030342,0.0
2010030345,1.0
2010030346,0.0
2010030372,4.0
2010030373,13.0
2010030374,5.0
2010030375,0.0
2010030376,3.0
2010030377,7.0
2010030443,2.0
2010030478,11.0
2010030480,8.0
2010030482,6.0
2010030484,0.0
2010030596,20.0
2010030598,7.0
2010030599,5.0
2010030600,3.0
2010030601,2.0
2010030602,6.0
2010030603,0.0
2010030605,2.0
2010030606,4.0
2010030608,0.0
2010030706,5.0
2010030708,0.0
2010030862,10.0
2010030863,0.0
2010031312,2.0
2010031316,0.0
2010031318,12.0
2010031322,22.0
2010031324,0.0
2010031380,15.0
2010031744,2.0
2010031745,8.0
2010031746,1.0
2010031749,29.0
2010031751,1.0
2010031752,6.0
2010031753,1.0
2010031758,0.0
2010031759,12.0
2010031872,14.0
2010031873,9.0
2010031874,25.0
2010031875,11.0
2010031877,6.0
2010031878,25.0
2010031879,13.0
2010031880,11.0
2010031882,3.0
2010031884,13.0
2010031885,7.0
2010032071,0.0
2010032096,14.0
2010032097,6.0
2010032098,12.0
2010032101,5.0
2010032102,0.0
2010032103,9.0
2010032105,0.0
2010032106,7.0
2010032107,37.0
2010032108,2.0
2010032109,7.0
2010032215,9.0
2010032216,2.0
2010032218,18.0
2010032402,3.0
2010032458,2.0
2010032459,4.0
2010032461,4.0
2010032462,4.0
2010032463,6.0
2010032464,5.0
2010032465,10.0
2010032466,6.0
2010032468,4.0
2010032474,3.0
2010032475,1.0
2010032476,2.0
2010032477,16.0
2010032478,0.0
2010032479,3.0
2010032480,2.0
2010032481,2.0
2010032482,13.0
2010032483,10.0
2010032484,8.0
2010032485,7.0
2010032491,2.0
2010032492,9.0
2010032493,0.0
2010032494,7.0
2010032495,6.0
2010032496,1.0
2010032497,2.0
2010032498,6.0
2010032499,1.0
2010032500,2.0
2010032503,3.0
2010032504,2.0
2010032505,6.0
2010032508,3.0
2010032509,2.0
2010032510,0.0
2010032514,17.0
2010032515,2.0
2010032516,0.0
2010032517,3.0
2010032518,1.0
2010032519,3.0
2010032535,6.0
2010032536,0.0
2010032537,5.0
2010032541,4.0
2010032542,1.0
2010032544,2.0
2010032545,4.0
2010032574,3.0
2010032575,5.0
2010032576,5.0
2010032578,0.0
2010032579,0.0
2010032580,6.0
2010032581,4.0
2010032582,7.0
2010032583,4.0
2010032585,0.0
2010032586,4.0
2010032587,4.0
2010032588,8.0
2010032602,5.0
2010032603,0.0
2010032604,30.0
2010032605,6.0
2010032606,1.0
2010032607,7.0
2010032608,6.0
2010032609,0.0
2010032610,5.0
2010032612,1.0
2010032626,3.0
2010032627,8.0
2010032628,5.0
2010032630,5.0
2010032631,2.0
2010032632,5.0
2010032634,4.0
2010032635,0.0
2010032636,8.0
2010032637,8.0
2010032638,3.0
2010032639,0.0
2010032640,4.0
2010032641,6.0
2010032642,31.0
2010032644,4.0
2010032645,34.0
2010032646,3.0
2010032647,2.0
2010032648,32.0
2010032649,15.0
2010032650,0.0
2010032651,4.0
2010032652,3.0
2010032711,10.0
2010032712,3.0
2010032716,10.0
2010032718,5.0
2010032719,0.0
2010032720,6.0
2010032727,2.0
2010032728,0.0
2010032729,2.0
2010032730,23.0
2010032731,5.0
2010032732,2.0
2010032733,5.0
2010032734,3.0
2010032735,3.0
2010032736,5.0
2010032737,4.0
2010032738,4.0
2010032739,1.0
2010032740,0.0
2010032741,8.0
2010032742,0.0
2010032743,5.0
2010032744,7.0
2010032745,1.0
2010032746,2.0
2010032747,4.0
2010032748,11.0
2010032750,6.0
2010032751,5.0
2010032752,1.0
2010032754,2.0
2010032755,5.0
2010032756,4.0
2010032757,16.0
2010032758,1.0
2010032759,1.0
2010032760,4.0
2010032761,10.0
2010032762,2.0
2010032763,5.0
2010032764,2.0
2010032766,7.0
2010032767,5.0
2010032768,3.0
2010032769,16.0
2010032770,8.0
2010032771,9.0
2010032772,1.0
2010032773,4.0
2010032774,2.0
2010032775,2.0
2010032776,12.0
2010032777,6.0
2010032778,3.0
2010032779,5.0
2010032780,3.0
2010032781,5.0
2010032782,2.0
2010032783,0.0
2010032784,5.0
2010032785,2.0
2010032786,1.0
2010032787,1.0
2010032788,1.0
2010032789,4.0
2010032790,5.0
2010032791,2.0
2010032792,6.0
2010032793,10.0
2010032796,2.0
2010032797,3.0
2010032803,0.0
2010032805,7.0
2010032806,9.0
2010032807,5.0
2010032808,2.0
2010032809,5.0
2010032810,2.0
2010032811,5.0
2010032813,1.0
2010032814,4.0
2010032815,3.0
2010032816,2.0
2010032817,3.0
2010032819,12.0
2010032820,5.0
2010032821,0.0
2010032822,5.0
2010032823,41.0
2010032824,10.0
2010032825,10.0
2010032826,10.0
2010032827,5.0
2010032828,10.0
2010032830,4.0
2010032832,18.0
2010032833,4.0
2010032834,10.0
2010032835,30.0
2010032836,4.0
2010032837,2.0
2010032838,6.0
2010032839,11.0
2010032840,11.0
2010033293,20.0
2010033399,11.0
2010033402,9.0
2010033564,0.0
2010033568,8.0
2010033569,5.0
2010033570,15.0
2010033573,8.0
2010033575,3.0
2010033576,4.0
2010033673,0.0
2010033773,10.0
2010033902,14.0
2010033904,5.0
2010033906,19.0
2010033909,6.0
2010033910,6.0
2010034050,4.0
2010034092,2.0
2010034093,12.0
2010034094,7.0
2010034126,5.0
2010034127,4.0
2010034128,0.0
2010034129,10.0
2010034130,8.0
2010034131,6.0
2010034132,5.0
2010034133,5.0
2010034134,3.0
2010034138,1.0
2010034141,8.0
2010034144,6.0
2010034145,7.0
2010034146,6.0
2010034147,30.0
2010034149,3.0
2010034151,5.0
2010034153,2.0
2010034154,5.0
2010034166,10.0
2010034168,1.0
2010034170,10.0
2010034171,15.0
2010034173,4.0
2010034174,3.0
2010034175,20.0
2010034176,3.0
2010034179,3.0
2010034180,0.0
2010034181,0.0
2010034183,4.0
2010034184,4.0
2010034186,5.0
2010034187,0.0
2010034190,15.0
2010034192,7.0
2010034193,4.0
2010034194,10.0
2010034195,3.0
2010034196,2.0
2010034197,10.0
2010034199,3.0
2010034200,0.0
2010034201,6.0
2010034202,7.0
2010034203,6.0
2010034204,5.0
2010034205,13.0
2010034206,4.0
2010034207,2.0
2010034216,0.0
2010034258,3.0
2010034286,6.0
2010034460,3.0
2010034461,15.0
2010034462,22.0
2010035209,4.0
2010035306,0.0
2010035508,3.0
2010035510,4.0
2010035511,4.0
2010035529,24.0
2010035702,4.0
2010035803,0.0
2010035804,4.0
2010035805,15.0
